ranking_date,current_rank,player,current_points,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
20240715,102,106075,607,106075,Jozef,Kovalik,R,19921104.0,SVK,183.0,Q12768184
20240826,102,208260,554,208260,Zachary,Svajda,R,20021129.0,USA,175.0,Q66391780
20241014,103,208004,567,208004,Harold,Mayot,R,20020204.0,FRA,180.0,Q81219097
20240812,103,207411,560,207411,Jesper,De Jong,R,20000531.0,NED,180.0,Q60239470
20240115,104,111581,603,111581,Michael,Mmoh,R,19980110.0,USA,188.0,Q17612636
20241014,105,106198,552,106198,Hugo,Dellien,R,19930616.0,BOL,180.0,Q5904441
20240129,105,209098,586,209098,Hamad,Medjedovic,R,20030718.0,SRB,188.0,Q106962940
20240909,105,207213,539,207213,Duje,Ajdukovic,R,20010205.0,CRO,188.0,Q106147194
20241118,105,105453,578,105453,Kei,Nishikori,R,19891229.0,JPN,178.0,Q311222
20240304,106,200436,572,200436,Zsombor,Piros,R,19991013.0,HUN,180.0,Q28539570
20240115,107,106043,583,106043,Diego,Schwartzman,R,19920816.0,ARG,170.0,Q5274812
